pair,2017Q4,2018Q1
"('VPV', 'VCV')",False,True
"('VPV', 'VGM')",False,False
"('VPV', 'IQI')",True,True
"('VPV', 'VBF')",False,False
"('VPV', 'VLT')",False,False
"('VPV', 'VMO')",False,True
"('VPV', 'VKI')",True,False
"('VPV', 'VTA')",False,False
"('VPV', 'IHIT')",False,False
"('VPV', 'IVZ')",False,False
"('VPV', 'IIM')",False,False
"('VPV', 'VVR')",True,False
"('SWKS', 'VICR')",False,False
"('BOKF', 'MTRX')",False,False
"('EVT', 'ETY')",False,False
"('EVT', 'EXD')",False,False
"('EVT', 'EVG')",False,False
"('EVT', 'ETG')",False,False
"('EVT', 'EXG')",False,False
"('EVT', 'ETV')",False,False
"('POST', 'CBSH')",False,False
"('KAMN', 'HUBB')",False,False
"('KAMN', 'CVS')",False,False
"('PRU', 'NOC')",False,False
"('OMI', 'DLTR')",False,False
"('OMI', 'MKL')",False,False
"('RAVN', 'GWB')",False,True
"('INTT', 'TAT')",False,False
"('SYF', 'EEX')",False,False
"('UAN', 'CVRR')",False,False
"('UAN', 'CVI')",False,False
"('OCSL', 'CVX')",False,False
"('UEC', 'NRG')",False,False
"('SQ', 'NTRA')",False,False
"('AEP', 'POL')",False,False
"('DERM', 'GNMX')",False,False
"('DERM', 'CERC')",False,False
"('PNC', 'ASH')",False,False
"('CAH', 'AEP')",False,False
"('TER', 'ENTG')",False,False
"('GWRE', 'CRM')",False,False
"('GWRE', 'NTNX')",False,False
"('LDL', 'RAIL')",False,False
"('AEIS', 'FARO')",False,False
"('JCP', 'NLSN')",False,False
"('JCP', 'SBUX')",False,False
"('DAN', 'DOV')",False,False
"('GWW', 'PRI')",False,False
"('OGE', 'NPO')",False,False
"('GLAD', 'QRVO')",False,False
"('PHH', 'DCOM')",False,False
"('CPB', 'MET')",False,False
"('ASMB', 'LLY')",False,False
"('HON', 'CRM')",False,False
"('NSP', 'KFRC')",False,False
"('NSP', 'ICFI')",False,True
"('UFPI', 'MLHR')",False,False
"('CI', 'LOW')",False,False
"('PF', 'TWNK')",False,False
"('ATW', 'HP')",False,False
"('IRBT', 'PTC')",False,False
"('CMA', 'CMC')",False,False
"('EXAC', 'ALCO')",False,DISSOLVED
"('NOM', 'OIA')",False,False
"('NOM', 'FMN')",False,False
"('NOM', 'FPT')",False,False
"('NOM', 'BKK')",False,False
"('NOM', 'NTX')",False,False
"('ARQL', 'VBIV')",False,False
"('UEIC', 'TFSL')",False,False
"('JNJ', 'AXP')",False,False
"('DOV', 'UFS')",False,True
"('DOV', 'AYI')",False,True
"('BLL', 'ALV')",False,False
"('NFJ', 'SYKE')",False,False
"('CUTR', 'MTD')",False,False
"('ENS', 'FOE')",False,False
"('ENS', 'EPAM')",False,False
"('VG', 'PEI')",False,False
"('BLW', 'BHV')",False,False
"('DRH', 'DIN')",False,False
"('PTI', 'IMDZ')",False,False
"('KFRC', 'ICFI')",False,False
"('KMB', 'HSY')",False,False
"('MTD', 'WAT')",False,False
"('USPH', 'LOB')",False,False
"('DRNA', 'MRNS')",False,False
"('CWGL', 'SPB')",False,False
"('GDV', 'GGO')",False,True
"('GDV', 'GLU')",False,False
"('GDV', 'GDL')",False,False
"('GDV', 'BCV')",False,False
"('GDV', 'GGZ')",False,False
"('GDV', 'GAB')",False,False
"('GDV', 'GBL')",False,False
